codigo sampler,Matriz,SubMatriz,granulometría - micrometro,grasa - nmr,humedad - determinador halogeno,limite de fluidez  anton paar,viscosidad plastica  anton paar,"('acidez', '135')","('acidez', '154')","('acidez', '155')","('acidez', '160')","('acidez', '179')","('amargor', '135')","('amargor', '154')","('amargor', '155')","('amargor', '160')","('amargor', '179')","('aroma', '135')","('aroma', '154')","('aroma', '155')","('aroma', '160')","('aroma', '179')","('astringencia', '135')","('astringencia', '154')","('astringencia', '155')","('astringencia', '160')","('astringencia', '179')","('dulce', '135')","('dulce', '154')","('dulce', '155')","('dulce', '160')","('dulce', '179')","('velocidad fusion', '135')","('velocidad fusion', '154')","('velocidad fusion', '155')","('velocidad fusion', '160')","('velocidad fusion', '179')",Relev aroma-135,Relev aroma-154,Relev aroma-155,Relev aroma-160,Relev aroma-179,Relev dulce-135,Relev dulce-154,Relev dulce-155,Relev dulce-160,Relev dulce-179,Relev amargor-135,Relev amargor-154,Relev amargor-155,Relev amargor-160,Relev amargor-179,Relev acidez-135,Relev acidez-154,Relev acidez-155,Relev acidez-160,Relev acidez-179,Relev astringencia-135,Relev astringencia-154,Relev astringencia-155,Relev astringencia-160,Relev astringencia-179,Relev velocidad fusion-135,Relev velocidad fusion-154,Relev velocidad fusion-155,Relev velocidad fusion-160,Relev velocidad fusion-179
D01221695,Chocolate,Chocolate Oscuro / Dark Chocolate,20.0,32.8122,0.16,18.828,1.7214,2.0,2.0,3.0,,,5.0,4.0,4.0,,,6.0,6.0,5.0,,,2.0,2.0,3.0,,,6.5,6.0,6.0,,,6.5,5.0,6.0,,,0.19256121277775615,0.1944928251837219,0.23777597376569684,0.18758499413641255,0.18758499413641255,0.196820221790206,0.1954189854628254,0.23107180444713132,0.18834449414991866,0.18834449414991866,0.1917186910289794,0.19298483566458005,0.24060904275350903,0.18734371527646573,0.18734371527646573,0.1923399472479411,0.1944999428853606,0.23895139939789656,0.18710435523440094,0.18710435523440094,0.1871471170930647,0.1898504474649266,0.2560855742986449,0.18345843057168182,0.18345843057168182,0.19673118124889438,0.19493049738728385,0.22628476938856554,0.1910267759876281,0.1910267759876281
D01221946,Chocolate,Chocolate blanco / White chocolate,25.0,41.0745,0.28,2.1108,1.7129,0.0,0.0,1.0,,,0.0,0.0,1.0,,,6.5,6.0,5.0,,,0.0,0.0,1.0,,,6.5,6.0,6.0,,,6.25,5.0,5.0,,,0.19258630709080515,0.21439518703555904,0.22427113268621401,0.18437368659371092,0.18437368659371092,0.19027094386933494,0.20703841215370306,0.23822340307135606,0.18223362045280295,0.18223362045280295,0.19576600854859796,0.21362678344292332,0.23215774793390997,0.17922473003728442,0.17922473003728442,0.1949937044170501,0.21532281471065282,0.23242702157442535,0.1786282296489359,0.1786282296489359,0.1906968319708536,0.2153732450930772,0.2419892868091523,0.1759703180634584,0.1759703180634584,0.19368253389471074,0.21717444871375974,0.24324323637075188,0.17294989051038884,0.17294989051038884
D01221978,Chocolate,Chocolate con Leche / Milk chocolate,24.0,36.1987,0.29,10.31,1.413,1.0,0.0,1.0,,1.0,4.0,3.0,3.0,,4.0,6.5,6.0,5.0,,4.0,0.0,0.0,1.0,,2.0,6.5,5.0,6.0,,6.0,6.0,5.0,6.0,,5.0,0.21212277665822907,0.18608461063446494,0.2159536785657565,0.17634409021865802,0.20949484392289133,0.20613585590519914,0.18162488398655782,0.23432051776455656,0.1733014833308314,0.20461725901285516,0.22011560279782233,0.1790886415648191,0.22732181654875216,0.16871606096899897,0.2047578781196074,0.21865846098522432,0.17971761659650723,0.22152710874536338,0.1652613319955209,0.21483548167738412,0.22385261456165922,0.1768130761925026,0.23231476808964477,0.16164107527658728,0.20537846587960612,0.22121279195908608,0.1791687032604156,0.23408015569523422,0.16159499148177026,0.20394335760349377
D01222198,Chocolate,Chocolate Oscuro / Dark Chocolate,24.0,32.9007,0.31,14.738,1.7866,2.0,0.0,1.0,,2.5,5.0,6.0,5.0,,2.0,6.0,6.0,5.0,,5.0,0.0,2.0,3.0,,2.0,6.5,3.0,5.0,,2.0,6.0,5.0,6.0,,4.0,0.2469618355006179,0.16689152497045084,0.2144912615905054,0.1658459016341828,0.20580947630424293,0.24000947768266762,0.1626088360460902,0.23505242739474327,0.1616185905532775,0.20071066832322143,0.25170462764411533,0.15614731339145424,0.23551464293351887,0.155527203137146,0.20110621289376554,0.2564831893888446,0.1537028419721917,0.22684403297188202,0.15065468560008077,0.21231525006700078,0.2698922141761694,0.14662231827204866,0.24031114947593804,0.14378530953024732,0.19938900854559666,0.2643038966534965,0.15205574255383328,0.23680657640947403,0.14857025212999925,0.19826353225319696
D01222283,Chocolate,Chocolate Oscuro / Dark Chocolate,25.0,40.3796,0.19,5.0631,2.0953,1.0,0.0,1.0,,2.0,4.0,3.0,2.0,,3.0,6.0,6.0,5.0,,3.0,3.0,0.0,5.0,,4.0,5.5,5.0,6.0,,1.0,5.5,5.0,5.0,,4.0,0.20600707414190625,0.1971871300409425,0.20204331433758063,0.19531447425798049,0.19944800722159017,0.21029101317539894,0.19603298310065276,0.19906160565965617,0.19512701737164453,0.19948738069264768,0.20128122850982627,0.19924228176477235,0.20456456594040898,0.1947442916620675,0.20016763212292496,0.20507317993766006,0.19664474474309723,0.20319563191379422,0.19492873331826435,0.20015771008718394,0.20217446494293434,0.19526391143486857,0.20827844961144035,0.19280439640264688,0.20147877760811,0.2047151463578189,0.20145672248991833,0.1995674453989115,0.1963635944056523,0.19789709134769884
D01230884,Chocolate,Chocolate Oscuro / Dark Chocolate,26.0,33.1334,0.19,34.947,3.3632,1.0,,,1.0,3.0,4.0,,,6.0,4.0,6.0,,,2.0,6.0,1.0,,,2.0,3.0,5.0,,,3.0,3.0,5.5,,,6.0,3.0,0.20526838494840768,0.19769040429966528,0.19769040429966528,0.19770139733338446,0.20164940911887722,0.2027279085502289,0.19871673607330287,0.19871673607330287,0.19871802623655083,0.2011205930666146,0.20498738147574352,0.19791690236981482,0.19791690236981482,0.19856602173803814,0.20061279204658872,0.20480877920557503,0.19837380613370453,0.19837380613370453,0.19837450841277218,0.2000691001142437,0.20525043021401657,0.19759931623873614,0.19759931623873614,0.19770408362903838,0.2018468536794729,0.20367588723471425,0.1984590487069805,0.1984590487069805,0.19869310848876112,0.20071290686256354
D01230886,Chocolate,Chocolate Oscuro / Dark Chocolate,24.0,42.5938,0.09,4.3691,0.8629,0.0,,,2.0,3.0,0.0,,,5.0,4.0,6.0,,,2.0,5.0,0.0,,,3.0,3.0,5.0,,,3.0,3.0,5.5,,,7.0,4.0,0.22394320252718736,0.16039588756160383,0.16039588756160383,0.22338843118866972,0.23187659116093529,0.22518936599280642,0.15892060819621678,0.15892060819621678,0.22819613832445512,0.22877327929030503,0.24124662371315733,0.148555430133166,0.148555430133166,0.22230158453183912,0.23934093148867158,0.22637361025272498,0.14604726987222702,0.14604726987222702,0.22170822721302952,0.25982362278979154,0.22605754181809806,0.14097536405085717,0.14097536405085717,0.22744619305101457,0.264545537029173,0.23543382624775203,0.15616890013960102,0.15616890013960102,0.22475630386238488,0.22747206961066105
D01240983,Chocolate,Chocolate Oscuro / Dark Chocolate,20.0,40.4513,0.1,6.6164,0.592,0.0,,,2.0,1.0,2.0,,,5.0,3.0,5.0,,,3.0,5.0,0.0,,,2.0,1.0,5.5,,,4.0,2.0,4.5,,,7.0,4.0,0.22822068435244347,0.16570339666738246,0.16570339666738246,0.19138664190466945,0.24898588040812208,0.23165573575126625,0.16404008295438716,0.16404008295438716,0.19080757049450076,0.24945652784545866,0.24164533073962338,0.1553380477562906,0.1553380477562906,0.18737330836739283,0.26030526538040266,0.22883984757670903,0.15318421564414,0.15318421564414,0.19288082763696876,0.27191089349804215,0.22857487151540357,0.1476132085683862,0.1476132085683862,0.18639932312709961,0.2897993882207244,0.23993624654800064,0.16131751508266517,0.16131751508266517,0.19049532048195927,0.24693340280470968
D01241098,Chocolate,Chocolate Oscuro / Dark Chocolate,20.0,36.3014,0.22,10.831,1.0857,0.0,,2.0,,1.0,2.0,,4.0,,4.0,5.0,,5.0,,6.0,1.0,,1.0,,2.0,5.0,,5.0,,3.0,5.0,,5.0,,4.0,0.19981767134062772,0.19981094604429986,0.20067727229510288,0.19981094604429986,0.1998831642756697,0.20034731668569808,0.19978202059528263,0.19991088191257056,0.19978202059528263,0.20017776021116607,0.20048146648492643,0.1996815286601627,0.20020378090571733,0.1996815286601627,0.19995169528903084,0.2000583319911968,0.199762594555614,0.2003767213595849,0.199762594555614,0.20003975753799022,0.20041593570071975,0.19955106046093776,0.200451539816841,0.19955106046093776,0.2000304035605636,0.2002359480164513,0.19985276992442197,0.20020558934226604,0.19985276992442197,0.1998529227924388
D01241468,Chocolate,Chocolate Oscuro / Dark Chocolate,20.0,35.4352,0.3,15.479,1.0418,,,1.0,,1.0,,,4.0,,3.0,,,5.0,,6.0,,,1.0,,5.0,,,5.0,,3.0,,,6.0,,3.0,0.18535418937163017,0.18535418937163017,0.2273258822479372,0.18535418937163017,0.21661154963717216,0.18103940306701174,0.18103940306701174,0.24782801537377694,0.18103940306701174,0.20905377542518785,0.17963957021084692,0.17963957021084692,0.24806524330647653,0.17963957021084692,0.21301604606098273,0.17706389377724466,0.17706389377724466,0.23683186610747434,0.17706389377724466,0.23197645256079166,0.17346464138182305,0.17346464138182305,0.26195749228327847,0.17346464138182305,0.2176485835712524,0.17560550733339206,0.17560550733339206,0.25888244890410567,0.17560550733339206,0.21430102909571822
